127.0.0.1 - - [02/Feb/2024:19:25:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:25:20 +0530] "GET /NumberGame/ HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:25:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:25:47 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:25:50 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:25:50 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:25:53 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:25:53 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:25:57 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:25:57 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:26:00 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:26:00 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:26:02 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:26:02 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:26:05 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:26:05 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:26:11 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:26:11 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:26:14 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:26:14 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:26:16 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
